canid,name,channel,rid,reg,value
1,FL_thigh,0,7,MST_ID,17
1,FL_thigh,0,8,ESC_ID,1
1,FL_thigh,0,9,TIMEOUT,0
1,FL_thigh,0,10,CTRL_MODE,1
1,FL_thigh,0,13,hw_ver,0
1,FL_thigh,0,14,sw_ver,925971254
1,FL_thigh,0,15,SN,0
1,FL_thigh,0,16,NPP,21
1,FL_thigh,0,35,can_br,9
1,FL_thigh,0,36,sub_ver,51
1,FL_thigh,0,0,UV_Value,15.0
1,FL_thigh,0,1,KT_Value,0.0
1,FL_thigh,0,2,OT_Value,100.0
1,FL_thigh,0,3,OC_Value,0.800000011920929
1,FL_thigh,0,6,MAX_SPD,600.0
1,FL_thigh,0,11,Damp,0.0007790580275468528
1,FL_thigh,0,12,Inertia,0.00012243799574207515
1,FL_thigh,0,17,Rs,0.42406201362609863
1,FL_thigh,0,18,LS,0.0002074369986075908
1,FL_thigh,0,19,Flux,0.0054862299002707005
1,FL_thigh,0,20,Gr,6.0
1,FL_thigh,0,21,PMAX,12.5
1,FL_thigh,0,22,VMAX,45.0
1,FL_thigh,0,23,TMAX,20.0
1,FL_thigh,0,24,I_BW,1000.0
1,FL_thigh,0,25,KP_ASR,0.0032999999821186066
1,FL_thigh,0,26,KI_ASR,0.0020000000949949026
1,FL_thigh,0,27,KP_APR,54.0
1,FL_thigh,0,28,KI_APR,0.0
1,FL_thigh,0,29,OV_Value,54.0
1,FL_thigh,0,30,GREF,1.0
1,FL_thigh,0,31,Deta,4.0
1,FL_thigh,0,32,V_BW,40.0
1,FL_thigh,0,33,IQ_c1,2500.0
1,FL_thigh,0,34,VL_c1,100.0
2,FL_calf,0,7,MST_ID,18
2,FL_calf,0,8,ESC_ID,2
2,FL_calf,0,9,TIMEOUT,0
2,FL_calf,0,10,CTRL_MODE,1
2,FL_calf,0,13,hw_ver,0
2,FL_calf,0,14,sw_ver,925971254
2,FL_calf,0,15,SN,0
2,FL_calf,0,16,NPP,21
2,FL_calf,0,35,can_br,9
2,FL_calf,0,36,sub_ver,51
2,FL_calf,0,0,UV_Value,15.0
2,FL_calf,0,1,KT_Value,0.0
2,FL_calf,0,2,OT_Value,100.0
2,FL_calf,0,3,OC_Value,0.800000011920929
2,FL_calf,0,6,MAX_SPD,600.0
2,FL_calf,0,11,Damp,0.0009300559759140015
2,FL_calf,0,12,Inertia,0.00012101400352548808
2,FL_calf,0,17,Rs,0.40388399362564087
2,FL_calf,0,18,LS,0.00020320899784564972
2,FL_calf,0,19,Flux,0.005462990142405033
2,FL_calf,0,20,Gr,6.0
2,FL_calf,0,21,PMAX,12.5
2,FL_calf,0,22,VMAX,45.0
2,FL_calf,0,23,TMAX,20.0
2,FL_calf,0,24,I_BW,1000.0
2,FL_calf,0,25,KP_ASR,0.0032999999821186066
2,FL_calf,0,26,KI_ASR,0.0020000000949949026
2,FL_calf,0,27,KP_APR,54.0
2,FL_calf,0,28,KI_APR,0.0
2,FL_calf,0,29,OV_Value,54.0
2,FL_calf,0,30,GREF,1.0
2,FL_calf,0,31,Deta,4.0
2,FL_calf,0,32,V_BW,40.0
2,FL_calf,0,33,IQ_c1,2500.0
2,FL_calf,0,34,VL_c1,100.0
3,FR_thigh,1,7,MST_ID,19
3,FR_thigh,1,8,ESC_ID,3
3,FR_thigh,1,9,TIMEOUT,0
3,FR_thigh,1,10,CTRL_MODE,1
3,FR_thigh,1,13,hw_ver,0
3,FR_thigh,1,14,sw_ver,925971254
3,FR_thigh,1,15,SN,0
3,FR_thigh,1,16,NPP,21
3,FR_thigh,1,35,can_br,9
3,FR_thigh,1,36,sub_ver,51
3,FR_thigh,1,0,UV_Value,15.0
3,FR_thigh,1,1,KT_Value,0.0
3,FR_thigh,1,2,OT_Value,100.0
3,FR_thigh,1,3,OC_Value,0.800000011920929
3,FR_thigh,1,6,MAX_SPD,600.0
3,FR_thigh,1,11,Damp,0.0005350660067051649
3,FR_thigh,1,12,Inertia,0.00011735100270016119
3,FR_thigh,1,17,Rs,0.4369809925556183
3,FR_thigh,1,18,LS,0.00021359800302889198
3,FR_thigh,1,19,Flux,0.0054745799861848354
3,FR_thigh,1,20,Gr,6.0
3,FR_thigh,1,21,PMAX,12.5
3,FR_thigh,1,22,VMAX,45.0
3,FR_thigh,1,23,TMAX,20.0
3,FR_thigh,1,24,I_BW,1000.0
3,FR_thigh,1,25,KP_ASR,0.0032999999821186066
3,FR_thigh,1,26,KI_ASR,0.0020000000949949026
3,FR_thigh,1,27,KP_APR,54.0
3,FR_thigh,1,28,KI_APR,0.0
3,FR_thigh,1,29,OV_Value,54.0
3,FR_thigh,1,30,GREF,1.0
3,FR_thigh,1,31,Deta,4.0
3,FR_thigh,1,32,V_BW,40.0
3,FR_thigh,1,33,IQ_c1,2500.0
3,FR_thigh,1,34,VL_c1,100.0
4,FR_calf,1,7,MST_ID,20
4,FR_calf,1,8,ESC_ID,4
4,FR_calf,1,9,TIMEOUT,0
4,FR_calf,1,10,CTRL_MODE,1
4,FR_calf,1,13,hw_ver,0
4,FR_calf,1,14,sw_ver,925971254
4,FR_calf,1,15,SN,0
4,FR_calf,1,16,NPP,21
4,FR_calf,1,35,can_br,9
4,FR_calf,1,36,sub_ver,51
4,FR_calf,1,0,UV_Value,15.0
4,FR_calf,1,1,KT_Value,0.0
4,FR_calf,1,2,OT_Value,100.0
4,FR_calf,1,3,OC_Value,0.800000011920929
4,FR_calf,1,6,MAX_SPD,600.0
4,FR_calf,1,11,Damp,0.0008132550283335149
4,FR_calf,1,12,Inertia,0.00012019700079690665
4,FR_calf,1,17,Rs,0.4163230061531067
4,FR_calf,1,18,LS,0.00020252699323464185
